Key,English,French
d3LadyBug1.Start1,LUCKY CHARM ! ,LUCKY CHARM !
d3LadyBug1.Start2,What ? ,Quoi ? 
d3LadyBug1.Start3,A roll of toilet paper ? ,Un rouleau de PQ ?
d3LadyBug1.Start4,That's a bit light for an opponent that moves at mach 3.,C'est un peu léger pour un adversaire qui se déplace à mach 3.
d3ChatNoir1.Start1,"You know my lady, we cats don't need much to keep us busy.","Tu sais ma lady, nous, les chats n'en demandons pas beaucoup pour nous occuper."
d3ChatNoir1.Start2,"A ball of wool, a cardboard box, a roll of toilet paper for clawing!","Une pelote de laine, une boite en carton, un rouleau de PQ pour se faire les griffes !"
d3LadyBug1.Start5,Yes that's it ! We're gonna have to sync kitten.,"Mais oui, c'est ça ! On va devoir se synchroniser chaton."
d3LadyBug1.Start6,"Get his attention, I'll attack from behind.","Attire son attention, je vais le prendre à revers."
d3ChatNoir1.Start3,"We could switch roles sometimes, it's always me who gets beaten up.","On pourrait échanger les rôles des fois, c'est toujours moi qui me fais casser la gueule."
d3ChatNoir1.Start4,And she's gone...,Et elle est déjà partie...
d3ChatNoir1.Start5,Ok.,Bon.
d3ChatNoir1.Start6,What if I offered to do his cat grooming ?,Si je lui proposais de lui faire sa toilette ?
d3ChatBlanc1.Start1,LADYBUG ?! WHERE ARE YOU HIDING MY LOVE ?!,LADYBUG ?! OÙ TE CACHES-TU MON AMOUR ?!
d3ChatNoir1.Start7,"That's not how you address a lady, come on.",C'est pas comme ça qu'on s'adresse à une Lady voyons.
d3ChatNoir2.Start8,In any case when I do it she doesn't like it at all.,En-tout-cas quand c'est moi qui le fait elle aime pas du tout.
